freq,landuse,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,L0008,KM2,AL	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL0	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL01	: 	: 	: 	: 	: 	: 	: 	: 	10509 e	10509 e	10509 e	10509 e
A,L0008,KM2,AL011	: 	: 	: 	: 	: 	: 	: 	: 	1638 e	1638 e	1638 e	1638 e
A,L0008,KM2,AL012	: 	: 	: 	: 	: 	: 	: 	: 	3315 e	3315 e	3315 e	3315 e
A,L0008,KM2,AL013	: 	: 	: 	: 	: 	: 	: 	: 	2455 e	2455 e	2455 e	2455 e
A,L0008,KM2,AL014	: 	: 	: 	: 	: 	: 	: 	: 	2339 e	2339 e	2339 e	2339 e
A,L0008,KM2,AL015	: 	: 	: 	: 	: 	: 	: 	: 	762 e	762 e	762 e	762 e
A,L0008,KM2,AL02	: 	: 	: 	: 	: 	: 	: 	: 	4934 e	4934 e	4934 e	4934 e
A,L0008,KM2,AL021	: 	: 	: 	: 	: 	: 	: 	: 	3293 e	3293 e	3293 e	3293 e
A,L0008,KM2,AL022	: 	: 	: 	: 	: 	: 	: 	: 	1641 e	1641 e	1641 e	1641 e
A,L0008,KM2,AL03	: 	: 	: 	: 	: 	: 	: 	: 	12663 e	12663 e	12663 e	12663 e
A,L0008,KM2,AL031	: 	: 	: 	: 	: 	: 	: 	: 	1809 e	1809 e	1809 e	1809 e
A,L0008,KM2,AL032	: 	: 	: 	: 	: 	: 	: 	: 	2863 e	2863 e	2863 e	2863 e
A,L0008,KM2,AL033	: 	: 	: 	: 	: 	: 	: 	: 	2629 e	2629 e	2629 e	2629 e
A,L0008,KM2,AL034	: 	: 	: 	: 	: 	: 	: 	: 	1787 e	1787 e	1787 e	1787 e
A,L0008,KM2,AL035	: 	: 	: 	: 	: 	: 	: 	: 	3575 e	3575 e	3575 e	3575 e
A,L0008,KM2,BE341	319 	319 	319 	319 	319 	319 	319 	319 	319 	319 	319 	319 
A,L0008,KM2,BE342	1047 	1047 	1047 	1047 	1047 	1047 	1047 	1047 	1047 	1047 	1047 	1047 
A,L0008,KM2,BE343	958 	958 	958 	958 	958 	958 	958 	958 	958 	958 	958 	958 
A,L0008,KM2,BE344	1359 	1359 	1359 	1359 	1359 	1359 	1359 	1359 	1359 	1359 	1359 	1359 
A,L0008,KM2,BE345	778 	778 	778 	778 	778 	778 	778 	778 	778 	778 	778 	778 
A,L0008,KM2,BE35	3664 	3664 	3664 	3664 	3664 	3665 	3665 	3665 	3665 	3665 	3665 	3665 
A,L0008,KM2,BE351	1593 	1593 	1593 	1593 	1593 	1593 	1593 	1593 	1593 	1593 	1593 	1593 
A,L0008,KM2,BE352	1163 	1163 	1163 	1163 	1163 	1163 	1163 	1163 	1163 	1163 	1163 	1163 
A,L0008,KM2,BE353	909 	909 	909 	909 	909 	909 	909 	909 	909 	909 	909 	909 
A,L0008,KM2,BG	110001 	110001 	110001 	110001 	110001 	110001 	110001 	110001 	110001 	110001 	110001 	110001 
A,L0008,KM2,BG3	67657 	67657 	67657 	67657 	67657 	67657 	67657 	67657 	67657 	67657 	67657 	67657 
A,L0008,KM2,BG31	18843 	18843 	18843 	18843 	18843 	18843 	18843 	18843 	18843 	18843 	18843 	18843 
A,L0008,KM2,BG311	2988 	2988 	2988 	2988 	2988 	2988 	2988 	2988 	2988 	2988 	2988 	2988 
A,L0008,KM2,BG312	3576 	3576 	3576 	3576 	3576 	3576 	3576 	3576 	3576 	3576 	3576 	3576 
A,L0008,KM2,BG313	3581 	3581 	3581 	3581 	3581 	3581 	3581 	3581 	3581 	3581 	3581 	3581 
A,L0008,KM2,BG314	4574 	4574 	4574 	4574 	4574 	4574 	4574 	4574 	4574 	4574 	4574 	4574 
A,L0008,KM2,BG315	4124 	4124 	4124 	4124 	4124 	4124 	4124 	4124 	4124 	4124 	4124 	4124 
