Lon	Lat	Year	Total
23.75	62.75	2020	18.074
13.75	49.25	2020	6.768
5.25	50.75	2020	1.657
24.75	67.75	2020	32.642
22.25	62.75	2020	13.349
-3.75	48.75	2020	1.657
9.75	52.75	2020	12.812
10.75	50.75	2020	9.491
10.75	47.75	2020	6.637
19.75	51.25	2020	5.82
3.75	45.25	2020	16.792
2.25	44.25	2020	5.611
-3.75	36.75	2020	1.761
-5.75	42.25	2020	1.0
4.75	48.75	2020	5.124
15.75	62.75	2020	28.064
15.75	52.25	2020	9.528
-5.75	37.75	2020	1.762
22.75	53.25	2020	5.688
14.25	52.25	2020	8.373
-1.25	40.75	2020	3.652
4.25	50.25	2020	6.113
16.25	60.75	2020	23.736
-4.75	41.75	2020	1.715
5.75	52.25	2020	11.198
2.25	43.75	2020	5.485
6.25	43.25	2020	4.381
9.75	48.75	2020	11.651
6.25	49.75	2020	6.524
-1.75	38.75	2020	1.672
10.75	50.25	2020	9.313
4.75	52.75	2020	0.499
-4.75	39.75	2020	2.874
28.25	62.75	2020	13.329
-1.25	48.25	2020	0.684
25.75	63.75	2020	17.878
12.75	63.25	2020	12.698
9.25	42.25	2020	7.505
24.25	61.75	2020	14.284
-0.75	49.25	2020	0.47
18.75	53.75	2020	5.9
22.25	63.25	2020	11.483
20.25	53.25	2020	4.215
8.75	52.25	2020	1.569
10.75	49.25	2020	9.406
2.75	47.25	2020	3.615
29.25	65.25	2020	32.414
-0.25	39.75	2020	1.393
-3.75	38.25	2020	2.372
22.25	54.25	2020	4.758
-6.75	41.75	2020	4.657
9.25	52.25	2020	4.856
14.75	63.75	2020	24.947
17.25	58.75	2020	5.677
13.75	57.75	2020	19.781
8.25	47.25	2020	4.269
22.25	61.75	2020	18.676
1.75	50.25	2020	1.149
7.75	53.75	2020	0.299
26.75	63.75	2020	16.777
4.25	51.75	2020	0.376
25.25	65.75	2020	23.211
16.25	59.25	2020	9.602
4.25	47.75	2020	8.711
1.25	45.25	2020	8.063
30.25	62.75	2020	18.449
0.75	44.25	2020	1.461
11.75	59.25	2020	8.705
20.25	67.25	2020	15.903
15.25	57.75	2020	18.51
15.25	53.75	2020	5.941
