NUTS_ID,Year,weighted_avg_VegC,weighted_avg_LitterC,weighted_avg_SoilC,weighted_avg_HarvSlowC,weighted_avg_Total,intersected_surface_area_km2,official_surface_area_2021
AT31,2022,2.6023891148402707,1.0586402357752571,3.509940976791449,0.1862958405434715,7.35745971484247,2783.107327344392,11981.0
AT32,1901,3.719205800785484,2.53235807085933,5.1324379030245275,0.14869704648648868,11.5335074326789,517.4428976422291,7154.0
AT32,1902,3.7122883449943935,2.5221409627795777,5.132481100207458,0.1521474784934121,11.519057886474842,517.4428976422291,7154.0
AT32,1903,3.687074646182889,2.513510622183323,5.1343143091682455,0.15485109590540863,11.489750673439866,517.4428976422291,7154.0
AT32,1904,3.6748420200936716,2.4898128144989222,5.132530295082897,0.15840652202340347,11.455548454515963,517.4428976422291,7154.0
AT32,1905,3.62056750132716,2.485527960195842,5.132554892520616,0.16351737425939314,11.402420913708085,517.4428976422291,7154.0
AT32,1906,3.4969554963035723,2.5723635808647307,5.1352831073703324,0.16707280037738795,11.370823176210026,517.4428976422291,7154.0
AT32,1907,3.4594988786392267,2.547291420589713,5.138924927854188,0.16977641778938454,11.315491644872514,517.4428976422291,7154.0
AT32,1908,3.438981070714425,2.520847732510573,5.140011322220049,0.17233184390737938,11.272128772169495,517.4428976422291,7154.0
AT32,1909,3.4221550727815155,2.500601242635961,5.142696339886835,0.1750354613193759,11.239636307917689,517.4428976422291,7154.0
AT32,1910,3.4372092399790075,2.4851023619888735,5.144634542958694,0.17358502931245248,11.240487977056096,517.4428976422291,7154.0
AT32,1911,3.423084153652175,2.448703642698395,5.142659140396413,0.17304820293966844,11.187643330980654,517.4428976422291,7154.0
AT32,1912,3.4364973861686767,2.4472098739409516,5.14344915217427,0.1725545737498147,11.199815980144786,517.4428976422291,7154.0
AT32,1913,3.4443558754424997,2.4267715006790054,5.145282361135059,0.17365956786088613,11.190026107934518,517.4428976422291,7154.0
AT32,1914,3.461125655437005,2.4093962138881997,5.146072372912915,0.17476456197195753,11.191358804210077,517.4428976422291,7154.0
AT32,1915,3.4725135442805124,2.3900143227372013,5.146115570095845,0.17427093278210382,11.182976166823805,517.4428976422291,7154.0
