Country,Year,weighted_sum_VegC,weighted_sum_LitterC,weighted_sum_SoilC,weighted_sum_HarvSlowC,weighted_sum_Total
NO,1970,8.772949433589137,12.059565605457875,23.4575778800916,0.28919224383558073,44.580805570479235
NO,1971,8.763480115097078,12.02978534546593,23.459185275969123,0.29372822454687014,44.54985331790757
NO,1972,8.858657662546998,11.951294674117642,23.45986028320279,0.2974725631922327,44.56660024110616
NO,1973,8.9633748085048,11.910853469894686,23.454539879842173,0.3036707164396382,44.635837360913435
NO,1974,9.062564943737463,11.881994178806279,23.457369693954178,0.31357614876268947,44.715887253552864
NO,1975,9.09635063201738,11.875953357793666,23.46294255844388,0.31780071349458194,44.75093983870808
NO,1976,9.065541949415366,12.047358071943268,23.472945953796742,0.32115986677930997,44.91034917635323
NO,1977,9.071378439140618,12.059201696805587,23.490644064155394,0.3254291699811173,44.94537684032228
NO,1978,9.084346118661829,12.056645948707066,23.499409713364493,0.33098313843442134,44.967629100456506
NO,1979,9.04789361002233,12.087927907676912,23.506471715669125,0.33501126296035827,44.97665789913567
NO,1980,9.078318136332985,12.030546499543624,23.506506244551087,0.3418598716364559,44.95607209276456
NO,1981,9.185784476241864,11.952221750828356,23.500420744227135,0.34294039246092906,44.98052803028279
NO,1982,9.23201516330463,11.964054525545638,23.505093450534314,0.34799850355276046,45.04927938842933
NO,1983,9.355606388407725,11.95804519421141,23.511161590180595,0.35080177807339286,45.17579947372195
NO,1984,9.49013005953841,11.934960619824288,23.515772998354098,0.353156921669279,45.29618860904086
NO,1985,9.529484848127384,11.923410961854017,23.513827859772057,0.35764720140128836,45.32442760715094
NO,1986,9.636860194066866,11.954338245082505,23.517003733590922,0.358957565058855,45.46952339964182
NO,1987,9.660965686999825,11.996293532681682,23.528164451484376,0.3635796916582161,45.54866214328379
NO,1988,9.705732381306015,11.849304964359314,23.516308498087863,0.3673567042161145,45.43899097242774
NO,1989,9.806242932078069,11.831659173333959,23.512528192327395,0.37316489670852615,45.522098828281074
NO,1990,10.05475355411565,11.792797657859818,23.50911155150876,0.36583838270575947,45.72625863592865
NO,1991,10.183935353154773,11.802793906984595,23.51390535928982,0.36648335733458925,45.870132806756125
NO,1992,10.286773687733495,11.718302173920053,23.516505362721972,0.36173411710472153,45.88715487991794
