Year;Lon;Lat;VegC;LitterC;SoilC;HarvSlowC;Total;Year.1;geometry;area_km2
1987;0;43,0;0,629;0,596;0,88;0,035;2,14;1987;POLYGON ((3458271.6700945487 2215220.84821657, 3472745.1921541984 2325189.8824917087, 3553013.62349266 2314409.0528263203, 3539914.4652525345 2204294.749930147, 3458271.6700945487 2215220.84821657));9058,120309385957
1988;0;43,5;0,631;0,594;0,879;0,035;2,139;1988;POLYGON ((3465486.3136763913 2270196.1789531885, 3480048.1480873986 2380200.9145512674, 3559623.1832636464 2369494.0675999853, 3546444.003466137 2259342.265477667, 3465486.3136763913 2270196.1789531885));8985,111570170082
1989;0;44,0;0,632;0,598;0,879;0,035;2,144;1989;POLYGON ((3472745.1921541984 2325189.8824917087, 3487395.0245653437 2435228.228615456, 3566272.5411923975 2424596.2632030845, 3553013.62349266 2314409.0528263203, 3472745.1921541984 2325189.8824917087));8911,402325626937
1990;0;44,5;0,645;0,597;0,878;0,035;2,155;1990;POLYGON ((3480048.1480873986 2380200.9145512674, 3494785.665199573 2490270.775946608, 3572961.5561670354 2479714.590835016, 3559623.1832636464 2369494.0675999853, 3480048.1480873986 2380200.9145512674));8836,997686397457
1991;0;45,0;0,639;0,602;0,879;0,035;2,156;1991;POLYGON ((3487395.0245653437 2435228.228615456, 3502219.914116509 2545327.5056008683, 3579690.087543968 2534847.9995053993, 3566272.5411923975 2424596.2632030845, 3487395.0245653437 2435228.228615456));8761,902827395019
1992;0;45,5;0,639;0,602;0,879;0,035;2,155;1992;POLYGON ((3494785.665199573 2490270.775946608, 3509697.6159505774 2600397.36444405, 3586457.9951417297 2589995.4360500867, 3572961.5561670354 2479714.590835016, 3494785.665199573 2490270.775946608));8686,122987757504
1993;0;46,0;0,646;0,602;0,879;0,035;2,162;1993;POLYGON ((3502219.914116509 2545327.5056008683, 3517218.6158377626 2655479.2971682344, 3593265.1392352213 2645155.845147948, 3579690.087543968 2534847.9995053993, 3502219.914116509 2545327.5056008683));8609,663470784048
1994;0;46,5;0,645;0,602;0,88;0,035;2,162;1994;POLYGON ((3509697.6159505774 2600397.36444405, 3524782.7594095813 2710572.246309133, 3600111.380550325 2700328.1693384037, 3586457.9951417297 2589995.4360500867, 3509697.6159505774 2600397.36444405));8532,529643856202
1995;0;47,0;0,645;0,597;0,879;0,035;2,156;1995;POLYGON ((3517218.6158377626 2655479.2971682344, 3532389.8927874938 2765675.1522642644, 3606996.5802589254 2755511.3490398047, 3593265.1392352213 2645155.845147948, 3517218.6158377626 2655479.2971682344));8454,726938352791
1996;0;47,5;0,651;0,597;0,88;0,035;2,162;1996;POLYGON ((3524782.7594095813 2710572.246309133, 3540039.8625777387 2820786.9533118377, 3613920.5999743026 2810704.3225684958, 3600111.380550325 2700328.1693384037, 3524782.7594095813 2710572.246309133));8376,26084954543
1997;0;48,0;0,658;0,593;0,88;0,035;2,165;1997;POLYGON ((3532389.8927874938 2765675.1522642644, 3547732.515866599 2875906.585630444, 3620883.3017469244 2865906.026158724, 3606996.5802589254 2755511.3490398047, 3532389.8927874938 2765675.1522642644));8297,136936481622
1998;0;48,5;0,658;0,594;0,879;0,036;2,167;1998;POLYGON ((3540039.8625777387 2820786.9533118377, 3555467.700216102 2931032.9833195447, 3627884.5480606314 2921115.3939833306, 3613920.5999743026 2810704.3225684958, 3540039.8625777387 2820786.9533118377));8217,360821860468
1999;0;49,0;0,665;0,593;0,878;0,036;2,172;1999;POLYGON ((3547732.515866599 2875906.585630444, 3563245.2636601403 2986165.0784206428, 3634924.201829201 2976331.35817514, 3620883.3017469244 2865906.026158724, 3547732.515866599 2875906.585630444));8136,93819188459
2000;0;49,5;0,672;0,585;0,877;0,036;2,171;2000;POLYGON ((3555467.700216102 2931032.9833195447, 3571065.0547010335 3041301.8009393015, 3642002.126393314 3031552.8488492114, 3627884.5480606314 2921115.3939833306, 3555467.700216102 2931032.9833195447));8055,874796103196
2001;0;50,0;0,675;0,586;0,876;0,036;2,174;2001;POLYGON ((3563245.2636601403 2986165.0784206428, 3578926.922306519 3096442.0788679, 3649118.1855179085 3086778.7941258224, 3634924.201829201 2976331.35817514, 3563245.2636601403 2986165.0784206428));7974,17644724412
2002;0;50,5;0,684;0,585;0,876;0,037;2,181;2002;POLYGON ((3571065.0547010335 3041301.8009393015, 3586830.7159071723 3151584.838209131, 3656272.243389926 3142008.1201542113, 3642002.126393314 3031552.8488492114, 3571065.0547010335 3041301.8009393015));7891,849021023994
2003;0;51,0;0,69;0,586;0,876;0,037;2,188;2003;POLYGON ((3578926.922306519 3096442.0788679, 3594776.2853942662 3206729.0030002818, 3663464.164616453 3197239.7511371113, 3649118.1855179085 3086778.7941258224, 3578926.922306519 3096442.0788679));7808,898455948234
2004;0;51,5;0,698;0,584;0,875;0,037;2,194;2004;POLYGON ((3586830.7159071723 3151584.838209131, 3602763.481118064 3261873.4953382937, 3670693.814223259 3252472.6093560676, 3656272.243389926 3142008.1201542113, 3586830.7159071723 3151584.838209131));7725,330753098406
2005;0;52,0;0,701;0,586;0,875;0,037;2,198;2005;POLYGON ((3594776.2853942662 3206729.0030002818, 3610792.1538865445 3317017.235405522, 3677961.057653726 3307705.615197464, 3663464.164616453 3197239.7511371113, 3594776.2853942662 3206729.0030002818));7641,151975899276
2006;0;52,5;0,701;0,583;0,875;0,037;2,196;2006;POLYGON ((3602763.481118064 3261873.4953382937, 3618862.154964567 3372159.1414962686, 3685265.760768175 3362937.6871793345, 3670693.814223259 3252472.6093560676, 3602763.481118064 3261873.4953382937));7556,368249871397
2007;0;53,0;0,701;0,584;0,874;0,038;2,197;2007;POLYGON ((3610792.1538865445 3317017.235405522, 3626973.3360734787 3427298.130044093, 3692607.7898435956 3418167.7419789606, 3677961.057653726 3307705.615197464, 3610792.1538865445 3317017.235405522));7470,985762373749
2008;0;53,5;0,699;0,585;0,873;0,038;2,195;2008;POLYGON ((3618862.154964567 3372159.1414962686, 3635125.5493911537 3482433.1156498366, 3699987.011573773 3473394.69446119, 3685265.760768175 3362937.6871793345, 3618862.154964567 3372159.1414962686));7385,010762327947
2009;0;54,0;0,701;0,587;0,873;0,039;2,2;2009;POLYGON ((3626973.3360734787 3427298.130044093, 3643318.647552473 3537563.011110322, 3707403.293069802 3528617.45770744, 3692607.7898435956 3418167.7419789606, 3626973.3360734787 3427298.130044093));7298,449559919735
2010;0;54,5;0,707;0,587;0,873;0,039;2,206;2010;POLYGON ((3635125.5493911537 3482433.1156498366, 3651552.4836502615 3592686.7274479587, 3714856.501861032 3583834.9430456185, 3699987.011573773 3473394.69446119, 3635125.5493911537 3482433.1156498366));7211,308526299639
2011;0;55,0;0,705;0,585;0,872;0,041;2,203;2011;POLYGON ((3643318.647552473 3537563.011110322, 3659826.9112366466 3647803.173940859, 3722346.5058963825 3639046.0600805627, 3707403.293069802 3528617.45770744, 3643318.647552473 3537563.011110322));7123,594093256508
2012;0;55,5;0,711;0,586;0,871;0,041;2,209;2012;POLYGON ((3651552.4836502615 3592686.7274479587, 3668141.7843248737 3702911.2581538106, 3729873.1735460805 3694249.7167253485, 3714856.501861032 3583834.9430456185, 3651552.4836502615 3592686.7274479587));7035,312752873345
2013;0;56,0;0,718;0,589;0,871;0,04;2,219;2013;POLYGON ((3659826.9112366466 3647803.173940859, 3676496.9573915782 3758009.8859699704, 3737436.373603809 3749444.8192333234, 3722346.5058963825 3639046.0600805627, 3659826.9112366466 3647803.173940859));6946,471057181316
2014;0;56,5;0,721;0,589;0,871;0,041;2,222;2014;POLYGON ((3668141.7843248737 3702911.2581538106, 3684892.2853794824 3813097.9616231504, 3745035.9752892447 3804630.272230753, 3729873.1735460805 3694249.7167253485, 3668141.7843248737 3702911.2581538106));6857,075617781737
2015;0;57,0;0,733;0,587;0,871;0,04;2,231;2015;POLYGON ((3676496.9573915782 3758009.8859699704, 3693327.623700559 3868174.387730903, 3752671.8482510163 3859804.9787502633, 3737436.373603809 3749444.8192333234, 3676496.9573915782 3758009.8859699704));6767,1331054576885
2016;0;57,5;0,729;0,592;0,871;0,042;2,235;2016;POLYGON ((3684892.2853794824 3813097.9616231504, 3701802.828239651 3923238.0653283037, 3760343.86257008 3914967.8402650077, 3745035.9752892447 3804630.272230753, 3684892.2853794824 3813097.9616231504));6676,65024977697
2017;0;58,0;0,725;0,594;0,871;0,044;2,233;2017;POLYGON ((3693327.623700559 3868174.387730903, 3710317.755358522 3978287.8939022953, 3768051.888763485 3970117.7567233904, 3752671.8482510163 3859804.9787502633, 3693327.623700559 3868174.387730903));6585,633838665125
2018;0;58,5;0,711;0,601;0,871;0,045;2,229;2018;POLYGON ((3701802.828239651 3923238.0653283037, 3718872.2619003938 4033322.771426893, 3775795.797788582 4025253.626584675, 3760343.86257008 3914967.8402650077, 3701802.828239651 3923238.0653283037));6494,090717972664
2019;0;59,0;0,706;0,603;0,871;0,046;2,225;2019;POLYGON ((3710317.755358522 3978287.8939022953, 3727466.2051949105 4088341.5943988645, 3783575.461047619 4080374.346855068, 3768051.888763485 3970117.7567233904, 3710317.755358522 3978287.8939022953));6402,02779102245
2020;0;59,5;0,707;0,601;0,871;0,046;2,225;2020;POLYGON ((3718872.2619003938 4033322.771426893, 3736099.443063584 4143343.257874198, 3791390.750392778 4135478.813124614, 3775795.797788582 4025253.626584675, 3718872.2619003938 4033322.771426893));6309,452018136755
2021;0;60,0;0,711;0,604;0,871;0,045;2,231;2021;POLYGON ((3727466.2051949105 4088341.5943988645, 3744771.833825695 4198326.655505182, 3799241.5381316175 4190565.9196047005, 3783575.461047619 4080374.346855068, 3727466.2051949105 4088341.5943988645));6216,370416157587
2022;0;60,5;0,714;0,605;0,872;0,046;2,236;2022;POLYGON ((3736099.443063584 4143343.257874198, 3753483.2363046464 4253290.679578069, 3807127.697032939 4245634.559166173, 3791390.750392778 4135478.813124614, 3736099.443063584 4143343.257874198));6122,790057939299
